"Time","coquette aesthetic"
"2020-01-01",0
"2020-02-01",0
"2020-03-01",0
"2020-04-01",0
"2020-05-01",0
"2020-06-01",0
"2020-07-01",0
"2020-08-01",0
"2020-09-01",0
"2020-10-01",0
"2020-11-01",0
"2020-12-01",0
"2021-01-01",0
"2021-02-01",0
"2021-03-01",0
"2021-04-01",0
"2021-05-01",0
"2021-06-01",0
"2021-07-01",2
"2021-08-01",2
"2021-09-01",2
"2021-10-01",1
"2021-11-01",5
"2021-12-01",14
"2022-01-01",15
"2022-02-01",15
"2022-03-01",16
"2022-04-01",20
"2022-05-01",23
"2022-06-01",23
"2022-07-01",27
"2022-08-01",30
"2022-09-01",26
"2022-10-01",26
"2022-11-01",26
"2022-12-01",31
"2023-01-01",39
"2023-02-01",30
"2023-03-01",26
"2023-04-01",30
"2023-05-01",25
"2023-06-01",25
"2023-07-01",26
"2023-08-01",19
"2023-09-01",23
"2023-10-01",23
"2023-11-01",26
"2023-12-01",62
"2024-01-01",100
"2024-02-01",91
"2024-03-01",63
"2024-04-01",60
"2024-05-01",49
"2024-06-01",43
"2024-07-01",45
"2024-08-01",51
"2024-09-01",40
"2024-10-01",35
"2024-11-01",39
"2024-12-01",35
"2025-01-01",39
"2025-02-01",36
"2025-03-01",26
"2025-04-01",23
"2025-05-01",21
"2025-06-01",18
"2025-07-01",22
"2025-08-01",20
"2025-09-01",19
"2025-10-01",16
"2025-11-01",19
"2025-12-01",19
"2026-01-01",19
"2026-02-01",25
"2026-03-01",15
