"Time","glazed donut nails"
"2020-01-01",0
"2020-02-01",0
"2020-03-01",0
"2020-04-01",0
"2020-05-01",0
"2020-06-01",0
"2020-07-01",0
"2020-08-01",0
"2020-09-01",0
"2020-10-01",0
"2020-11-01",0
"2020-12-01",0
"2021-01-01",0
"2021-02-01",0
"2021-03-01",0
"2021-04-01",0
"2021-05-01",0
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",0
"2022-04-01",0
"2022-05-01",0
"2022-06-01",4
"2022-07-01",54
"2022-08-01",100
"2022-09-01",93
"2022-10-01",52
"2022-11-01",45
"2022-12-01",44
"2023-01-01",43
"2023-02-01",36
"2023-03-01",40
"2023-04-01",35
"2023-05-01",31
"2023-06-01",31
"2023-07-01",24
"2023-08-01",26
"2023-09-01",28
"2023-10-01",22
"2023-11-01",20
"2023-12-01",21
"2024-01-01",19
"2024-02-01",16
"2024-03-01",16
"2024-04-01",18
"2024-05-01",17
"2024-06-01",18
"2024-07-01",15
"2024-08-01",19
"2024-09-01",33
"2024-10-01",27
"2024-11-01",17
"2024-12-01",12
"2025-01-01",12
"2025-02-01",10
"2025-03-01",11
"2025-04-01",11
"2025-05-01",13
"2025-06-01",10
"2025-07-01",11
"2025-08-01",15
"2025-09-01",16
"2025-10-01",9
"2025-11-01",10
"2025-12-01",10
"2026-01-01",10
"2026-02-01",8
"2026-03-01",9
