"Time","office siren"
"2020-01-01",2
"2020-02-01",0
"2020-03-01",1
"2020-04-01",2
"2020-05-01",3
"2020-06-01",3
"2020-07-01",2
"2020-08-01",1
"2020-09-01",1
"2020-10-01",2
"2020-11-01",1
"2020-12-01",1
"2021-01-01",1
"2021-02-01",0
"2021-03-01",1
"2021-04-01",0
"2021-05-01",2
"2021-06-01",1
"2021-07-01",1
"2021-08-01",1
"2021-09-01",1
"2021-10-01",1
"2021-11-01",2
"2021-12-01",2
"2022-01-01",1
"2022-02-01",1
"2022-03-01",2
"2022-04-01",1
"2022-05-01",2
"2022-06-01",1
"2022-07-01",1
"2022-08-01",2
"2022-09-01",1
"2022-10-01",2
"2022-11-01",0
"2022-12-01",1
"2023-01-01",2
"2023-02-01",1
"2023-03-01",2
"2023-04-01",1
"2023-05-01",2
"2023-06-01",1
"2023-07-01",0
"2023-08-01",1
"2023-09-01",2
"2023-10-01",1
"2023-11-01",1
"2023-12-01",3
"2024-01-01",8
"2024-02-01",10
"2024-03-01",15
"2024-04-01",14
"2024-05-01",41
"2024-06-01",79
"2024-07-01",100
"2024-08-01",94
"2024-09-01",78
"2024-10-01",70
"2024-11-01",42
"2024-12-01",37
"2025-01-01",30
"2025-02-01",27
"2025-03-01",100
"2025-04-01",38
"2025-05-01",33
"2025-06-01",33
"2025-07-01",34
"2025-08-01",29
"2025-09-01",23
"2025-10-01",26
"2025-11-01",22
"2025-12-01",23
"2026-01-01",24
"2026-02-01",26
"2026-03-01",19
