"Time","opium aesthetic"
"2020-01-01",0
"2020-02-01",0
"2020-03-01",0
"2020-04-01",0
"2020-05-01",0
"2020-06-01",0
"2020-07-01",0
"2020-08-01",0
"2020-09-01",0
"2020-10-01",0
"2020-11-01",0
"2020-12-01",0
"2021-01-01",0
"2021-02-01",0
"2021-03-01",0
"2021-04-01",0
"2021-05-01",0
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",0
"2022-04-01",0
"2022-05-01",0
"2022-06-01",0
"2022-07-01",0
"2022-08-01",0
"2022-09-01",0
"2022-10-01",0
"2022-11-01",0
"2022-12-01",0
"2023-01-01",23
"2023-02-01",23
"2023-03-01",43
"2023-04-01",43
"2023-05-01",83
"2023-06-01",58
"2023-07-01",68
"2023-08-01",80
"2023-09-01",80
"2023-10-01",85
"2023-11-01",78
"2023-12-01",90
"2024-01-01",83
"2024-02-01",75
"2024-03-01",100
"2024-04-01",53
"2024-05-01",58
"2024-06-01",30
"2024-07-01",63
"2024-08-01",60
"2024-09-01",68
"2024-10-01",58
"2024-11-01",53
"2024-12-01",60
"2025-01-01",30
"2025-02-01",48
"2025-03-01",45
"2025-04-01",35
"2025-05-01",40
"2025-06-01",25
"2025-07-01",38
"2025-08-01",28
"2025-09-01",0
"2025-10-01",33
"2025-11-01",0
"2025-12-01",40
"2026-01-01",45
"2026-02-01",73
"2026-03-01",25
